"","Respondents","1. Do you give your consent to take part in this study?","2. What is your current age in years?","3. What is your gender?","4. Do you currently live in the UK?","5. What are the first 3 digits of your postcode? (e.g., HU5, YO1).","6. Please click the item that best describes the neighbourhood you live in:","7. Are you a member of an environmental charity or community group? (i.e., RSPB, ""Friends of"" group)","8. Do you participate in any form of nature recording? (e.g., via apps iNaturalist, Seek, Merlin or as an amateur naturalist)","9.1. 1. I always find beauty in nature.","9.2. 2. I always treat nature with respect.","9.3. 3. Being in nature makes me very happy.","9.4. 4. Spending time in nature is very important to me.","9.5. 5. I find being in nature really amazing.","9.6. 6. I feel part of nature.","10. How often do you visit blue spaces?","10.1. Rivers, canals and dykes","10.2. Park lakes","10.3. Coastal areas","10.4. Estuaries","10.5. Marinas","11. Have you heard of the term ""rewilding""?","12.1. Cities should have more blue spaces","12.2. Blue spaces are important for nature","12.3. Blue spaces in the UK are in poor condition","12.4. Blue spaces are important for my health and wellbeing","12.5. We should “rewild” UK blue spaces","13. Do you carry out any of these activities around blue spaces?","14. In three words describe a blue space in your local area","15. In three words describe a ""wild"" blue space in your local area","16. What wildlife have you seen around blue spaces?","17. What types of wildlife would you like to see more of?","18. Would you consider providing a blue space (e.g., large nature pond or mini bucket pond) in your garden, allotment or other available outdoor space?","19. How would you improve blue spaces for people and nature?","Start Date","Completion Date","age_factor","location","gender","10.1. Rivers, canals and dykes_binary","10.2. Park lakes_binary","10.3. Coastal areas_binary","10.4. Estuaries_binary","10.5. Marinas_binary","blue_space_total_frequency","blue_space_mean_frequency","blue_space_num_visited"
"73","Respondent 73","I give consent to take part in this study",46,"Female","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","2","1","1","2","2",NA,2,12,2,2,2,"No",7,7,7,7,7,"Exercise (e.g., walking, kayaking, swimming)","Brown, muddy, littered","Brown, muddy, littered","Insects","Garden birds, fish, hedgehogs","Maybe, I would consider providing a blue space with more information or assistance","Regular litter pickers","2025-04-14 18:15:50 UTC","2025-04-14 18:24:42 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,20,4,5
"74","Respondent 74","I give consent to take part in this study",51,"Male","Yes","Hu2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","2","3",NA,52,12,12,52,52,"Yes",7,7,5,6,6,"Photography,Feeding wildlife (e.g., ducks, fish)","Polluted large accessible","Uninvested urban accessible","Birds","Birds fish","I already do","Investment. Repair riverside access","2025-04-15 10:19:13 UTC","2025-04-15 10:23:32 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,180,36,5
"75","Respondent 75","I give consent to take part in this study",54,"Female","Yes","YO1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","4","3","5",NA,1,0,1,0,0,"Yes",7,7,7,7,7,"I don't carry out any of these activities","Flat, Calm, Busy","Wide, Fast, Dividing","Ducks and Geese","Mammals","I would if I had the space","Improve access (including safety) and provide information about the history and nature of/at the site - what am I looking at?","2025-04-15 10:24:09 UTC","2025-04-15 10:31:59 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,0,1,0,0,2,0.4,2
"76","Respondent 77","I give consent to take part in this study",58,"Male","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","3","1","1","1","2","3",NA,12,2,12,2,52,"Yes",7,7,4,7,6,"Nature watching,Fishing","Relaxing, active, dirty","Unmanaged, neglected, litter","Birds,frogs,fish,","Birds,fish,voles","I already do","Get people involved in making, creating and managing projects","2025-04-15 10:31:20 UTC","2025-04-15 10:50:15 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,80,16,5
"77","Respondent 78","I give consent to take part in this study",41,"Male","Yes","Hu13","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","1",NA,12,2,2,52,2,"Yes",7,7,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Pond dipping,Rock pooling","Mostly for fishing","Rich in biodiversity","Too many to list, but some of the most relevant to the habitat without creating a hige list would be taxa such as Odonata, alongside Amphibians, Bird species, and aquatic Flora.","Reptiles and Amphibians, Invertebrates, and Birds.","I would if I had the space","Sympathetically manage in a way that keeps native biodiversity high within the area, but in a way that still can be perceived as 'attractive' by the general public. Bridging the gap between nature and the outdated idea that green and blue spaces sound be heavily managed and almost 'sterile' to be visually appealing.","2025-04-15 10:44:11 UTC","2025-04-15 10:55:37 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,70,14,5
"78","Respondent 79","I give consent to take part in this study",34,"Male","Yes","WF10","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","1","1","1","1","3",NA,12,12,1,1,1,"Yes",6,7,6,6,7,"Nature watching,Dog walking,Photography,Feeding wildlife (e.g., ducks, fish)","River","River","Birds, fish, insects, Amphibians","Otters, Beavers, Voles, Foxes, Badgers, Wading Birds","Maybe, I would consider providing a blue space with more information or assistance","Improving water quality, removing litter, increasing biodiversity in areas","2025-04-15 10:57:24 UTC","2025-04-15 11:02:55 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,27,5.4,5
"79","Respondent 80","I give consent to take part in this study",32,"Female","Yes","HU10","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1","1","1","1","2","3",NA,2,2,2,1,1,"Yes",7,7,6,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish),Rock pooling","Refreshing, calming, grounding","Hard to find","Birds, ducks, frogs","Just more variety","I would if I had the space","Make them more accessible e.g pram friendly and basic facilities like toilets","2025-04-15 11:08:18 UTC","2025-04-15 11:15:30 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,8,1.6,5
"80","Respondent 81","I give consent to take part in this study",60,"Female","Yes","DD8","Rural (i.e., mostly countryside with few houses or buildings)","No","Yes","1","1","1","1","1","1",NA,12,12,52,2,2,"Yes",7,7,4,7,7,"Nature watching,Dog walking","Idyllic","Tranquil peaceful idyllic","Birds bees and butterflies","Birds","I already do","Not sure","2025-04-15 11:29:59 UTC","2025-04-15 11:33:18 UTC","4","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,80,16,5
"81","Respondent 82","I give consent to take part in this study",49,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1","1","1","1","1","1",NA,12,2,12,52,0,"Yes",7,7,7,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","Dirty, sparse, inaccessible","Peaceful,  pretty, interesting","Dragonflies,  birds, fish, flowers, crabs","More variety of all species","Maybe, I would consider providing a blue space with more information or assistance","Make them more accessible for all, clean them and the area, provide attractive flowers for insects, food sources for fish. Make them safe from vandals and pollution.","2025-04-15 11:25:46 UTC","2025-04-15 11:37:23 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,0,78,15.6,4
"82","Respondent 83","I give consent to take part in this study",31,"Male","Yes","Ls28","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","3",NA,12,12,2,12,1,"No",7,7,7,7,7,"Exercise (e.g., walking, kayaking, swimming)","Nice","Na","Squrriel","Rabbits","No","Na","2025-04-15 11:39:53 UTC","2025-04-15 11:42:34 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,39,7.8,5
"83","Respondent 84","I give consent to take part in this study",70,"Female","Yes","DD5","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","1","1","1","2","1",NA,52,12,52,12,12,"Yes",5,6,5,6,4,"Nature watching,Dog walking,Photography","River Tay","River Tay","Swans Dolphins Foxes Gulls Sparrowhawk","Hedgehogs Badgers","Maybe, I would consider providing a blue space with more information or assistance","Regular monitoring g of water quality. More information boards. More recycling facilities.","2025-04-15 11:42:49 UTC","2025-04-15 11:49:36 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,140,28,5
"84","Respondent 85","I give consent to take part in this study",40,"Male","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,12,12,2,12,2,"Yes",7,7,5,7,7,"Exercise (e.g., walking, kayaking, swimming) ,Fishing","Peaceful, clean, enjoyable","Natural, beautiful peaceful","Water voles, fish, birds, insects, reptiles, fox, deer, rabbits,","Newts","Maybe, I would consider providing a blue space with more information or assistance","Signage to remind people to respect the space and not pollute it with litter etc","2025-04-15 12:05:12 UTC","2025-04-15 12:12:08 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,40,8,5
"85","Respondent 86","I give consent to take part in this study",62,"Female","Yes","hu8","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","1",NA,12,12,2,12,2,"No",6,6,6,6,6,"Exercise (e.g., walking, kayaking, swimming)","not a lot","not a lot","deer,various birds foxes","any","I would if I had the space","not build on these areas","2025-04-15 12:08:27 UTC","2025-04-15 12:12:25 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,40,8,5
"86","Respondent 87","I give consent to take part in this study",65,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","1",NA,12,12,12,12,12,"No",1,1,1,1,1,"Nature watching,Dog walking,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","Pickering park  and Humber bridge , Flamborough , Whitt , lavender fields","Bemton clifts","Foxes ,puffins ,seagulls, robins , blackbirds ,","Foxes, hedgehogs, more garden birds","I already do","More fields within walking distance with ponds or streams with trees seating areas  for people to relax  and enjoy the birds","2025-04-15 13:29:56 UTC","2025-04-15 13:48:28 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,60,12,5
"87","Respondent 88","I give consent to take part in this study",54,"Female","Yes","Po12","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1","1","1","1","1","1",NA,12,2,52,12,52,"Yes",7,7,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Trees, birds, boats","Birds, nesting, riverside","Geese, ducks, swans, shore birds, eagles, seals, foxes","All","I would if I had the space","Cleanups, stop river fishing as too many hook accidents,","2025-04-15 15:18:26 UTC","2025-04-15 15:28:45 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,130,26,5
"88","Respondent 89","I give consent to take part in this study",73,"Female","Yes","Hu13","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","3",NA,12,52,52,12,2,"Yes",7,7,3,7,6,"Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Humber foreshore","Humber estuary","Geese swans ducks","Herons kingfisher","I would if I had the space","Plenty of bins and info boards","2025-04-15 16:30:45 UTC","2025-04-15 16:35:45 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,130,26,5
"89","Respondent 90","I give consent to take part in this study",64,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","1",NA,12,12,2,2,2,"Yes",7,7,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Feeding wildlife (e.g., ducks, fish),Pond dipping","Natural beautiful calm","Peaceful beautiful serene","Ducks, frogs, geese, swans, small egret, birds, newts, insects, dragonflies, deer","Newts, otters, watervoles","I already do","Clear away rubbish, look at water cleanliness, encourage wildlife, encourage community projects, make them safer spaces, raise awareness about of environmental issues and the impact on wildlife and nature","2025-04-15 16:23:52 UTC","2025-04-15 16:35:53 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,30,6,5
"90","Respondent 91","I give consent to take part in this study",36,"Female","Yes","HU13","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","2","1","1","2","3","4",NA,2,12,2,12,12,"No",6,7,5,6,5,"Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Green, appealing, safe","Beautiful, calm, safe","Birds, insects, fish","A greater differentiation of birds, butterflies, foxes","I would if I had the space","Ensuring they were maintained and safe for all that access them","2025-04-15 17:21:01 UTC","2025-04-15 17:34:15 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,40,8,5
"91","Respondent 92","I give consent to take part in this study",33,"Female","Yes","DN1","Rural (i.e., mostly countryside with few houses or buildings)","No","No","1","1","1","1","1","3",NA,52,12,2,2,1,"Yes",7,7,5,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish),Rock pooling","Calming, enticing, fun","Stunning wildlife haven","Deer, adders, countless birds, badgers, otters","Hedgehogs","I already do","Better education from a young age to engage young people with nature instead of technology","2025-04-15 18:37:51 UTC","2025-04-15 18:41:49 UTC","2","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,69,13.8,5
"92","Respondent 93","I give consent to take part in this study",49,"Female","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","2","1","1","1","1","2",NA,2,2,2,1,2,"Yes",6,7,5,5,7,"I don't carry out any of these activities","Humber bridge area","River humber","Few birds","Everything","I already do","Not let land be built on","2025-04-15 18:51:20 UTC","2025-04-15 18:54:57 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,9,1.8,5
"93","Respondent 94","I give consent to take part in this study",60,"Female","Yes","HU14","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,52,2,2,1,2,"Yes",1,1,1,1,1,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","North cave wetlands","Mires beck","Greece, herons,kingfishers.swans,ducks,fish","Mandarin ducks, great crested grebes","I would if I had the space","Firstly addressing pollution. Restore existing areas & improve access/amenities..for wildlife, nature and people’s health benefits..","2025-04-15 19:01:13 UTC","2025-04-15 19:22:32 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,59,11.8,5
"94","Respondent 95","I give consent to take part in this study",72,"Male","Yes","sk5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","2","2","2","2",NA,52,52,0,0,2,"No",6,6,5,6,5,"Exercise (e.g., walking, kayaking, swimming)","local duck ponds","Reddish vale","birds, insects, squrrils","butterflies","I would if I had the space","easy access, parking, disability access, resting points, information boards","2025-04-15 19:34:22 UTC","2025-04-15 19:44:48 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,0,0,1,106,21.2,3
"95","Respondent 96","I give consent to take part in this study",32,"Female","Yes","HU10","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","2",NA,2,12,12,1,1,"No",6,7,6,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish),Rock pooling","Dusky, peaceful, alive","Murky, overgrown, littered","Fish, crabs, birds","Seals, dolphins,","I would if I had the space","Keep them clean and provide adequate resources for wildlife to flourish","2025-04-15 19:40:02 UTC","2025-04-15 19:49:08 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,28,5.6,5
"96","Respondent 97","I give consent to take part in this study",33,"Male","Yes","HU1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","2",NA,2,2,12,2,52,"Yes",7,7,6,7,7,"Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography","Brown, dirty, unwelcoming","Calming, beautful,","Seabirds, dolphins","Marine mammals, seabirds","I would if I had the space","Regular maintenance and accessibility","2025-04-15 20:22:00 UTC","2025-04-15 20:25:17 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,70,14,5
"97","Respondent 98","I give consent to take part in this study",73,"Female","Yes","Hu13","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","2",NA,2,2,2,2,1,"Yes",5,5,4,5,3,"Nature watching","River humber","Humber bridge park","Ducks, swans, birds, rabbits","Deer","I would if I had the space","Places to sit, maybe a viewing area with stationary binoculars","2025-04-15 20:37:52 UTC","2025-04-15 20:45:41 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,9,1.8,5
"98","Respondent 99","I give consent to take part in this study",69,"Female","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,52,2,12,52,12,"No",6,6,6,6,6,"Nature watching,Dog walking,Fishing,Photography","River Humber","Welton Waters","Geese, ducks, water voles, birds, heron, seagulls, widgeon","All wildlife","I would if I had the space","Maintain what we have","2025-04-15 21:16:59 UTC","2025-04-15 21:27:20 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,130,26,5
"99","Respondent 100","I give consent to take part in this study",64,"Male","Yes","Hu10","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","3","1","2","2","2","2",NA,12,12,2,12,0,"Yes",7,7,7,6,5,"Nature watching","Quiet, interesting, reflective","Quiet interesting reflective","Numerous","Bugs,bats and butterflies","I already do","Convert parks into wildlife areas","2025-04-15 21:22:21 UTC","2025-04-15 21:32:23 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,0,38,7.6,4
"100","Respondent 101","I give consent to take part in this study",51,"Female","Yes","HU7","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","2","2",NA,0,0,2,0,1,"No",5,6,5,6,4,"I don't carry out any of these activities","The nearby riverbank","Noddle Hill Reserve","Birds","Don’t know","Maybe, I would consider providing a blue space with more information or assistance","Clean up","2025-04-15 21:28:15 UTC","2025-04-15 21:34:44 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",0,0,1,0,1,3,0.6,2
"101","Respondent 102","I give consent to take part in this study",60,"Male","Yes","hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","2",NA,12,0,2,1,0,"Yes",7,7,7,7,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","wooded","local wood","birds plants","open ditches","I would if I had the space","no mow may carried on until september and reseed amenity grass area with wildflower meadow plants","2025-04-15 21:46:12 UTC","2025-04-15 21:55:21 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,0,1,1,0,15,3,3
"102","Respondent 103","I give consent to take part in this study",66,"Female","Yes","HU6","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","1","1",NA,2,2,2,0,2,"Yes",7,7,4,4,6,"I don't carry out any of these activities","Free, open , calm","Free , calm , interesting","Swans , birds","Birds , bees , butterflies","I already do","More benches","2025-04-16 06:06:11 UTC","2025-04-16 06:12:16 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,0,1,8,1.6,4
"103","Respondent 104","I give consent to take part in this study",45,"Female","Yes","Hu16","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","2","1","1","1","2","2",NA,12,12,12,12,12,"Yes",6,6,6,6,5,"Nature watching","Space to reflect","Naturally balanced space","Dragonflies, birds, frogs","Everything!","I already do","Stop pollution- including human and animal waste, agricultural run off plus chemicals","2025-04-16 06:31:32 UTC","2025-04-16 06:37:06 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,60,12,5
"104","Respondent 105","I give consent to take part in this study",34,"Female","Yes","Eh1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,12,12,52,12,1,"Yes",7,7,5,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Green maintained pretty","Fascinating beauty interesting","Mainly bird species, squirrels, owls","Any","Maybe, I would consider providing a blue space with more information or assistance","Not sure","2025-04-16 06:53:12 UTC","2025-04-16 06:56:30 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,89,17.8,5
"105","Respondent 106","I give consent to take part in this study",50,"Female","Yes","Hu17","Rural (i.e., mostly countryside with few houses or buildings)","No","Yes","2","1","1","1","1","2",NA,1,2,12,2,12,"Yes",7,7,6,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish),Pond dipping,Rock pooling","Calm restorative peaceful","Natural wonderful calming","Porpoise, various birds and insects, otters","Otters, seals, birds, insects, badgers, red squirrels, birds of prey, voles","I already do","I don’t know","2025-04-16 07:16:46 UTC","2025-04-16 07:29:30 UTC","3","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,29,5.8,5
"106","Respondent 107","I give consent to take part in this study",64,"Female","Yes","HU17","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","1","2","1","2","3",NA,12,2,2,2,0,"Yes",5,6,6,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","Lots of wildlife","Birds, plants, newts","Birds, plants, trees, amphibians, rodents, invertebrates","Greater variety and numbers of all particularly invertebrates","I already do","Improve water quality and develop safe spaces for people to swim. Create wildlife habitats. Work with farmers to reduce/stop pesticide and fertiliser runoff","2025-04-16 07:55:26 UTC","2025-04-16 08:20:24 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,0,18,3.6,4
"107","Respondent 108","I give consent to take part in this study",68,"Female","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","2","1","1","2","3",NA,1,0,2,2,0,"Yes",6,7,5,4,6,"I don't carry out any of these activities","None available","Popular  scenic accessible","Birds","More visiting and local bird life","I would if I had the space","Proper management and no pollution","2025-04-16 08:33:50 UTC","2025-04-16 08:43:38 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,0,1,1,0,5,1,3
"108","Respondent 109","I give consent to take part in this study",36,"Female","Yes","Hu13","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","1","1","1","1","1","1",NA,12,2,2,2,2,"Yes",7,7,6,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish),Pond dipping,Rock pooling","Calming beautiful windy","Needs more care","Dragonflies, ducks, damselflies, swans, fish, birds, beetles, geese","Swans","I would if I had the space","Litter seems to be a big problem in a lot of blue spaces, more seating for people to sit and enjoy their surroundings","2025-04-16 09:11:42 UTC","2025-04-16 09:19:30 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,20,4,5
"109","Respondent 110","I give consent to take part in this study",44,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","1",NA,12,12,2,1,12,"Yes",7,7,7,7,7,"Dog walking,Exercise (e.g., walking, kayaking, swimming)","Abandoned, neglected, littered","Littered, neglected, abandoned","Insects, ducks, fish, plants","Insects, plants","Maybe, I would consider providing a blue space with more information or assistance","Taking care and nurturing the blue spaces we already have","2025-04-16 10:25:17 UTC","2025-04-16 10:29:51 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,39,7.8,5
"110","Respondent 111","I give consent to take part in this study",44,"Female","Yes","HU7","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","1",NA,52,52,12,12,12,"Yes",7,7,7,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish),Pond dipping,Rock pooling","Beautiful, unloved, biodiverse.","Calm, relaxing, joyful","Amphibians, snakes, birds Inc owls and raptors, deer, invertebrates, foxes.","Amphibians and reptiles.","I already do","Education and understanding the importance of blue spaces.","2025-04-16 10:32:19 UTC","2025-04-16 10:43:51 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,140,28,5
"111","Respondent 112","I give consent to take part in this study",71,"Female","Yes","HU9","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","2","1","1","1","2","3",NA,52,2,12,52,52,"Yes",6,6,3,7,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","Thought-provoking  Energising  Calming","Natural. Quiet. Calming","Coots Moorhens Puffins. Dolphin pod","Birds. Mammals. Insects","I would if I had the space","Have info points on how to start their own however small. Info boards at established spaces. Where to look for help and info - do’s and dont’s etc","2025-04-16 10:36:49 UTC","2025-04-16 10:44:56 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,170,34,5
"112","Respondent 113","I give consent to take part in this study",55,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","3",NA,52,2,12,52,12,"No",7,7,5,7,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish),Rock pooling","The lido","River Hull","Birds, squirrels, fish, newts, frogs, seals","Otters","I would if I had the space","Investment in their upkeep","2025-04-16 10:41:03 UTC","2025-04-16 10:48:47 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,130,26,5
"113","Respondent 114","I give consent to take part in this study",34,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","2","2","1","1","1","1",NA,1,1,2,2,12,"Yes",7,7,7,7,7,"Nature watching,Dog walking,Feeding wildlife (e.g., ducks, fish)","Artificial, ""managed"", sad.","Powerful, peaceful, brown","Birds","Frogs!","I already do","An environmental rights act to minimise pollution","2025-04-16 11:31:00 UTC","2025-04-16 11:33:52 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,18,3.6,5
"114","Respondent 115","I give consent to take part in this study",60,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","1",NA,52,52,2,0,52,"Yes",7,7,7,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","snuff mill lane","nutwood","Deer, squirrels, birds","deer","I would if I had the space","make them more accessible","2025-04-16 11:52:37 UTC","2025-04-16 11:56:22 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,0,1,158,31.6,4
